                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                   2.31,                 4.8728,                  1.587,                0.09965,                 0.0873,                0.05605,                0.02011,                 1.9113,                 4.2801,                 1.5231,              7.777e-05,              7.777e-05,              7.777e-05
                      1,                  2.001,                 2.8538,                 1.3791,                0.47773,                0.39283,                0.42175,                0.23678,                 1.6536,                 2.6611,                 1.3662,             0.00016005,             0.00016005,             0.00016005
                      2,                 1.8352,                 1.7984,                 1.2441,                0.50342,                0.54636,                0.48108,                0.26456,                 1.6037,                 4.6673,                 1.3016,             0.00023529,             0.00023529,             0.00023529
                      3,                  1.679,                 1.4653,                 1.1862,                0.43012,                0.67404,                0.51314,                0.30467,                 1.5868,                 3.0983,                 1.2654,             0.00030349,             0.00030349,             0.00030349
                      4,                 1.6546,                 1.3511,                 1.1666,                0.67676,                0.64441,                0.65687,                0.36697,                 1.5065,                 1.7798,                 1.2471,             0.00036466,             0.00036466,             0.00036466
                      5,                 1.6661,                 1.3134,                 1.1795,                0.62096,                0.73662,                0.67543,                0.34149,                 1.5026,                 2.1629,                 1.2992,             0.00041878,             0.00041878,             0.00041878
                      6,                 1.6441,                 1.2474,                 1.1666,                0.69832,                 0.7218,                0.73894,                0.40675,                 1.4665,                 1.7966,                 1.2907,             0.00046586,             0.00046586,             0.00046586
                      7,                 1.5311,                 1.1261,                 1.1335,                0.62941,                0.81416,                0.78232,                0.43244,                 1.4808,                 1.4451,                  1.268,             0.00050591,             0.00050591,             0.00050591
                      8,                 1.5377,                   1.12,                 1.1469,                0.72749,                0.75631,                0.78935,                0.47601,                 1.4414,                 1.5014,                 1.2214,             0.00053891,             0.00053891,             0.00053891
                      9,                 1.5244,                  1.026,                 1.1074,                0.78032,                0.73237,                0.78576,                0.45263,                 1.4291,                 1.3176,                 1.2209,             0.00056488,             0.00056488,             0.00056488
                     10,                 1.5653,                 1.0836,                  1.142,                0.71353,                 0.7705,                0.75741,                0.43113,                 1.4157,                 1.2953,                 1.2419,             0.00058381,             0.00058381,             0.00058381
                     11,                 1.5326,                 1.0351,                 1.1113,                0.72095,                0.76178,                0.77896,                0.44511,                 1.4041,                 1.3208,                 1.2354,              0.0005957,              0.0005957,              0.0005957
                     12,                 1.4816,                0.96469,                 1.0889,                 0.6326,                0.79579,                0.76454,                0.43875,                 1.4223,                 1.2599,                 1.2271,             0.00058305,             0.00058305,             0.00058305
                     13,                 1.4364,                0.94441,                  1.057,                0.69948,                0.76855,                0.75528,                0.44104,                 1.4225,                 1.1295,                 1.2234,             0.00058305,             0.00058305,             0.00058305
                     14,                 1.4512,                0.94072,                 1.0724,                0.66072,                0.74774,                0.73323,                 0.4151,                 1.4573,                 1.1458,                 1.2566,             0.00053906,             0.00053906,             0.00053906
                     15,                 1.4354,                0.91528,                 1.0662,                 0.8701,                0.64866,                0.73837,                0.40113,                 1.4539,                 1.1767,                 1.2719,             0.00049506,             0.00049506,             0.00049506
                     16,                 1.4339,                0.90472,                 1.0531,                0.67573,                0.61951,                0.73901,                0.41373,                 1.4322,                 1.2237,                 1.2584,             0.00045107,             0.00045107,             0.00045107
                     17,                 1.4326,                 0.8731,                 1.0672,                0.68024,                0.73374,                0.73021,                0.43259,                 1.4116,                 1.2578,                   1.24,             0.00040707,             0.00040707,             0.00040707
                     18,                 1.3913,                0.84667,                 1.0467,                0.65948,                0.76655,                0.72222,                0.42053,                 1.4151,                 1.3036,                 1.2422,             0.00036307,             0.00036307,             0.00036307
                     19,                 1.3735,                0.83282,                 1.0718,                0.63597,                0.77578,                0.74341,                 0.4213,                  1.437,                 1.1687,                 1.2371,             0.00031908,             0.00031908,             0.00031908
                     20,                 1.3585,                0.84377,                 1.0788,                 0.7811,                0.79421,                0.77554,                0.43112,                 1.4319,                 1.0945,                 1.2205,             0.00027508,             0.00027508,             0.00027508
                     21,                 1.3921,                0.80451,                 1.0574,                0.76008,                0.81008,                0.79838,                0.45849,                 1.4323,                 1.0454,                  1.215,             0.00023109,             0.00023109,             0.00023109
                     22,                 1.2987,                0.79492,                 1.0549,                0.77172,                0.80177,                0.80563,                0.46889,                 1.4119,                 1.0065,                   1.21,             0.00018709,             0.00018709,             0.00018709
                     23,                 1.2704,                0.77313,                 1.0235,                 0.7794,                0.80778,                0.81955,                  0.486,                  1.386,                 1.0021,                 1.2033,              0.0001431,              0.0001431,              0.0001431
                     24,                 1.3014,                0.77096,                 1.0287,                0.78671,                0.80586,                0.81597,                0.49265,                 1.3853,                0.99185,                 1.2065,             9.9101e-05,             9.9101e-05,             9.9101e-05
